Name,Mass,Radius,x,y,z,v_x,v_y,v_z
,kg,km,km,km,km,km/s,km/s,km/s
1,1,1,0,0,0,0,0,0
2,3.302E23,0.0035068,5.242617205495467E+07,-5.596063357617276E+06,-5.398976570474024E+06,-3.931719860392732E+00,5.056613955108243E+01,4.493726800433638E+00
3,48.685E23,6051.84,-1.143612889654620E+07,1.076180391552140E+08,2.081921801192194E+06,-3.498958532524220E+01,-3.509011592387367E+00,1.971012081662609E+00
4,5.97219E24,6371.01,-2.741147560901964E+07,1.452697499646169E+08,1.907499306293577E+04,-2.981801522121922E+01,-5.415519940416356E+00,1.781036907294364E-03
5,6.4171E23,3389.92,-1.309510737126251E+08,-1.893127398896606E+08,-7.714450109843910E+05,2.090994471204196E+01,-1.160503586188451E+01,-7.557181497936503E-01
