start_time,end_time,timestep_(s),steps,bodies,execution_time_(s),comments
Thu Nov 17 12:45:10 2022,Thu Nov 17 12:45:11 2022,864000.0,200,20,1.1939218044281006,
Thu Nov 17 12:46:55 2022,Thu Nov 17 12:46:57 2022,864000.0,200,20,1.2881836891174316,
Fri Nov 18 12:25:28 2022,Fri Nov 18 12:25:28 2022,864000.0,20,20,0.12114930152893066,
Fri Nov 18 12:26:11 2022,Fri Nov 18 12:26:11 2022,864000.0,20,20,0.13727092742919922,
Fri Nov 18 12:26:11 2022,Fri Nov 18 12:26:11 2022,864000.0,20,20,0.16845059394836426,
Fri Nov 18 12:26:11 2022,Fri Nov 18 12:26:12 2022,864000.0,20,20,0.19367408752441406,
Fri Nov 18 12:26:11 2022,Fri Nov 18 12:26:12 2022,864000.0,20,20,0.1698167324066162,
