start_time,end_time,timestep_(s),steps,bodies,threads,execution_time_(s),comments
Sun Nov 27 11:47:43 2022,Sun Nov 27 12:05:47 2022,864000.0,200,500,28,1084.071860074997,chunksize 1
Sun Nov 27 11:47:43 2022,Sun Nov 27 12:06:01 2022,864000.0,200,500,28,1097.569454908371,chunksize 1
Sun Nov 27 11:47:43 2022,Sun Nov 27 12:10:49 2022,864000.0,200,500,28,1386.7177920341492,chunksize 1
Sun Nov 27 12:06:01 2022,Sun Nov 27 12:23:44 2022,864000.0,200,500,28,1062.2811741828918,chunksize 2
Sun Nov 27 12:05:48 2022,Sun Nov 27 12:24:21 2022,864000.0,200,500,28,1113.0137023925781,chunksize 2
Sun Nov 27 12:10:50 2022,Sun Nov 27 12:32:50 2022,864000.0,200,500,28,1319.7010598182678,chunksize 2
Sun Nov 27 12:23:44 2022,Sun Nov 27 12:41:24 2022,864000.0,200,500,28,1060.0617001056671,chunksize 4
Sun Nov 27 12:24:21 2022,Sun Nov 27 12:42:43 2022,864000.0,200,500,28,1101.888428926468,chunksize 4
Sun Nov 27 12:32:51 2022,Sun Nov 27 12:54:41 2022,864000.0,200,500,28,1309.9940237998962,chunksize 4
Sun Nov 27 12:41:25 2022,Sun Nov 27 12:59:46 2022,864000.0,200,500,28,1100.9759497642517,chunksize 8
Sun Nov 27 12:42:44 2022,Sun Nov 27 13:01:16 2022,864000.0,200,500,28,1112.101506471634,chunksize 8
Sun Nov 27 12:54:42 2022,Sun Nov 27 13:17:39 2022,864000.0,200,500,28,1377.5450468063354,chunksize 8
Sun Nov 27 12:59:47 2022,Sun Nov 27 13:17:50 2022,864000.0,200,500,28,1083.2984149456024,chunksize 12
Sun Nov 27 13:01:17 2022,Sun Nov 27 13:19:36 2022,864000.0,200,500,28,1099.1178221702576,chunksize 12
Sun Nov 27 13:17:40 2022,Sun Nov 27 13:40:06 2022,864000.0,200,500,28,1345.3357639312744,chunksize 12
Sun Nov 27 13:17:51 2022,Sun Nov 27 13:35:35 2022,864000.0,200,500,28,1064.5079259872437,chunksize 16
Sun Nov 27 13:19:37 2022,Sun Nov 27 13:37:54 2022,864000.0,200,500,28,1097.7518966197968,chunksize 16
Sun Nov 27 13:40:07 2022,Sun Nov 27 14:01:46 2022,864000.0,200,500,28,1299.8672995567322,chunksize 16
Sun Nov 27 13:35:36 2022,Sun Nov 27 13:53:31 2022,864000.0,200,500,28,1074.4155299663544,chunksize 20
Sun Nov 27 13:37:55 2022,Sun Nov 27 13:56:39 2022,864000.0,200,500,28,1123.6126804351807,chunksize 20
Sun Nov 27 14:01:47 2022,Sun Nov 27 14:24:14 2022,864000.0,200,500,28,1347.097199678421,chunksize 20
Sun Nov 27 13:53:31 2022,Sun Nov 27 14:11:24 2022,864000.0,200,500,28,1072.6085004806519,chunksize 24
Sun Nov 27 13:56:40 2022,Sun Nov 27 14:14:12 2022,864000.0,200,500,28,1051.9770860671997,chunksize 24
