Name,Mass,x,y,z,v_x,v_y,v_z
,kg,m,m,m,m/s,m/s,m/s
1,1.989E30,0,0,0,0,0,0
2,3.302E23,5.242617205495467E+10,-5.596063357617276E+09,-5.398976570474024E+09,-3.931719860392732E+03,5.056613955108243E+04,4.493726800433638E+03
3,48.685E23,-1.143612889654620E+10,1.076180391552140E+11,2.081921801192194E+09,-3.498958532524220E+04,-3.509011592387367E+03,1.971012081662609E+03
4,5.97219E24,-2.741147560901964E+10,1.452697499646169E+11,1.907499306293577E+07,-2.981801522121922E+04,-5.415519940416356E+03,1.781036907294364E+0
5,6.4171E23,-1.309510737126251E+11,-1.893127398896606E+11,-7.714450109843910E+08,2.090994471204196E+04,-1.160503586188451E+04,-7.557181497936503E+2
